# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
3.872576e+01	2.202104e-27
3.881504e+01	2.214040e-27
3.890451e+01	2.224667e-27
3.899420e+01	2.236643e-27
3.908409e+01	2.248641e-27
3.917419e+01	2.260659e-27
3.926449e+01	2.272700e-27
3.935501e+01	2.286104e-27
3.944573e+01	2.298190e-27
3.953666e+01	2.310297e-27
3.962780e+01	2.322425e-27
3.971915e+01	2.334574e-27
3.981072e+01	2.346744e-27
3.990249e+01	2.358936e-27
3.999447e+01	2.371148e-27
4.008667e+01	2.384766e-27
4.017908e+01	2.397048e-27
4.027170e+01	2.409350e-27
4.036454e+01	2.421673e-27
4.045759e+01	2.435389e-27
4.055085e+01	2.447756e-27
4.064433e+01	2.460143e-27
4.073803e+01	2.473931e-27
4.083194e+01	2.486362e-27
4.092607e+01	2.500197e-27
4.102041e+01	2.512671e-27
4.111497e+01	2.525164e-27
4.120975e+01	2.539070e-27
4.130475e+01	2.551606e-27
4.139997e+01	2.565560e-27
4.149540e+01	2.579537e-27
4.159106e+01	2.592139e-27
4.168694e+01	2.606163e-27
4.178304e+01	2.618807e-27
4.187936e+01	2.632879e-27
4.197590e+01	2.646975e-27
4.207266e+01	2.659682e-27
4.216965e+01	2.673824e-27
4.226686e+01	2.687991e-27
4.236430e+01	2.700762e-27
4.246196e+01	2.714975e-27
4.255984e+01	2.729213e-27
4.265795e+01	2.743474e-27
4.275629e+01	2.757759e-27
4.285485e+01	2.770636e-27
4.295364e+01	2.784967e-27
4.305266e+01	2.799322e-27
4.315191e+01	2.813701e-27
4.325138e+01	2.828104e-27
4.335109e+01	2.842530e-27
4.345102e+01	2.856981e-27
4.355119e+01	2.871454e-27
4.365158e+01	2.885952e-27
4.375221e+01	2.900473e-27
4.385307e+01	2.915017e-27
4.395416e+01	2.929586e-27
4.405549e+01	2.945639e-27
4.415704e+01	2.960256e-27
4.425884e+01	2.974897e-27
4.436086e+01	2.989562e-27
4.446313e+01	3.004249e-27
4.456562e+01	3.020433e-27
4.466836e+01	3.035169e-27
4.477133e+01	3.049930e-27
4.487454e+01	3.064713e-27
4.497799e+01	3.081001e-27
4.508167e+01	3.095833e-27
4.518559e+01	3.112175e-27
4.528976e+01	3.127056e-27
4.539416e+01	3.141959e-27
4.549881e+01	3.158379e-27
4.560369e+01	3.173331e-27
4.570882e+01	3.189805e-27
4.581419e+01	3.204805e-27
4.591980e+01	3.221331e-27
4.602566e+01	3.237886e-27
4.613176e+01	3.252960e-27
4.623810e+01	3.269567e-27
4.634469e+01	3.284689e-27
4.645153e+01	3.301349e-27
4.655861e+01	3.318037e-27
4.666594e+01	3.334751e-27
4.677351e+01	3.349972e-27
4.688134e+01	3.366740e-27
4.698941e+01	3.383535e-27
4.709773e+01	3.400358e-27
4.720630e+01	3.417208e-27
4.731513e+01	3.434087e-27
4.742420e+01	3.449454e-27
4.753352e+01	3.466385e-27
4.764310e+01	3.483342e-27
4.775293e+01	3.500328e-27
4.786301e+01	3.517341e-27
4.797334e+01	3.534381e-27
4.808393e+01	3.551449e-27
4.819478e+01	3.568544e-27
4.830588e+01	3.587225e-27
4.841724e+01	3.604377e-27
4.852885e+01	3.621557e-27
4.864072e+01	3.638764e-27
4.875285e+01	3.655999e-27
4.886524e+01	3.674831e-27
4.897788e+01	3.692123e-27
4.909079e+01	3.709443e-27
4.920395e+01	3.726790e-27
4.931738e+01	3.745745e-27
4.943107e+01	3.763149e-27
4.954502e+01	3.782166e-27
4.965923e+01	3.799628e-27
4.977371e+01	3.817116e-27
4.988845e+01	3.836226e-27
5.000345e+01	3.853773e-27
5.011872e+01	3.872570e-27
5.023426e+01	3.889826e-27
5.035006e+01	3.908678e-27
5.046613e+01	3.927561e-27
5.058247e+01	3.944895e-27
5.069907e+01	3.963832e-27
5.081594e+01	3.982799e-27
5.093309e+01	4.000210e-27
5.105050e+01	4.019233e-27
5.116818e+01	4.038284e-27
5.128614e+01	4.057366e-27
5.140437e+01	4.074882e-27
5.152286e+01	4.094019e-27
5.164164e+01	4.113185e-27
5.176068e+01	4.132380e-27
5.188000e+01	4.151605e-27
5.199960e+01	4.170859e-27
5.211947e+01	4.190142e-27
5.223962e+01	4.209456e-27
5.236004e+01	4.228798e-27
5.248075e+01	4.248169e-27
5.260173e+01	4.267570e-27
5.272299e+01	4.287001e-27
5.284453e+01	4.306461e-27
5.296634e+01	4.327577e-27
5.308844e+01	4.347098e-27
5.321083e+01	4.366650e-27
5.333349e+01	4.386231e-27
5.345644e+01	4.407477e-27
5.357967e+01	4.427121e-27
5.370318e+01	4.446794e-27
5.382698e+01	4.468140e-27
5.395106e+01	4.487875e-27
5.407543e+01	4.509289e-27
5.420009e+01	4.529086e-27
5.432503e+01	4.550568e-27
5.445027e+01	4.570428e-27
5.457579e+01	4.591977e-27
5.470160e+01	4.611900e-27
5.482770e+01	4.633517e-27
5.495409e+01	4.653503e-27
5.508077e+01	4.675189e-27
5.520774e+01	4.696910e-27
5.533501e+01	4.718667e-27
5.546257e+01	4.738782e-27
5.559043e+01	4.760608e-27
5.571857e+01	4.782469e-27
5.584702e+01	4.804366e-27
5.597576e+01	4.826300e-27
5.610480e+01	4.846578e-27
5.623413e+01	4.868581e-27
5.636377e+01	4.890620e-27
5.649370e+01	4.912696e-27
5.662393e+01	4.934807e-27
5.675446e+01	4.956955e-27
5.688529e+01	4.980848e-27
5.701643e+01	5.003071e-27
5.714786e+01	5.025332e-27
5.727960e+01	5.047629e-27
5.741165e+01	5.069963e-27
5.754399e+01	5.092333e-27
5.767665e+01	5.116466e-27
5.780960e+01	5.138913e-27
5.794287e+01	5.161397e-27
5.807644e+01	5.185653e-27
5.821032e+01	5.208214e-27
5.834451e+01	5.230813e-27
5.847901e+01	5.255191e-27
5.861382e+01	5.277868e-27
5.874894e+01	5.302330e-27
5.888437e+01	5.325085e-27
5.902011e+01	5.349631e-27
5.915616e+01	5.374221e-27
5.929253e+01	5.397095e-27
5.942922e+01	5.421770e-27
5.956621e+01	5.446488e-27
5.970353e+01	5.469482e-27
5.984116e+01	5.494286e-27
5.997911e+01	5.519134e-27
6.011737e+01	5.544009e-27
6.025596e+01	5.568926e-27
6.039486e+01	5.592103e-27
6.053409e+01	5.617106e-27
6.067363e+01	5.642153e-27
6.081350e+01	5.667246e-27
6.095369e+01	5.692382e-27
6.109420e+01	5.717564e-27
